p_id,Area,Item,Year,Production,Field ID,crop_id
20101,Barisal,Maize,2008,6186,10701,10901
20102,Barisal,Rice,2008,10186,10701,10904
20103,Barisal,Othres,2008,6310,10702,10905
20104,Barisal,Wheat,2008,5348,10702,10902
20105,Barisal,Potato,2008,8197,10703,10903
20106,Barisal,Maize,2009,6175,10701,10901
20107,Barisal,Rice,2009,16175,10701,10904
20108,Barisal,Othres,2009,4164,10702,10905
20109,Barisal,Wheat,2009,6527,10702,10902
20110,Barisal,Potato,2009,9433,10703,10903
20111,Barisal,Maize,2010,4480,10701,10901
20112,Barisal,Rice,2010,11071,10701,10904
20113,Barisal,Othres,2010,6732,10702,10905
20114,Barisal,Wheat,2010,6491,10702,10902
20115,Barisal,Potato,2010,10220,10703,10903
20116,Barisal,Maize,2011,7253,10701,10901
20117,Barisal,Rice,2011,14830,10701,10904
20118,Barisal,Othres,2011,4500,10702,10905
20119,Barisal,Wheat,2011,6939,10702,10902
20120,Barisal,Potato,2011,8206,10703,10903
20121,Barisal,Maize,2012,3179,10701,10901
20122,Barisal,Rice,2012,15143,10701,10904
20123,Barisal,Othres,2012,5296,10702,10905
20124,Barisal,Wheat,2012,4749,10702,10902
20125,Barisal,Potato,2012,10459,10703,10903
20126,Barisal,Maize,2013,3364,10701,10901
20127,Barisal,Rice,2013,9667,10701,10904
20128,Barisal,Othres,2013,6491,10702,10905
20129,Barisal,Wheat,2013,7494,10702,10902
20130,Barisal,Potato,2013,8671,10703,10903
20131,Barisal,Maize,2014,4165,10701,10901
20132,Barisal,Rice,2014,9491,10701,10904
20133,Barisal,Othres,2014,4122,10702,10905
20134,Barisal,Wheat,2014,5272,10702,10902
20135,Barisal,Potato,2014,8247,10703,10903
20136,Barisal,Maize,2015,3242,10701,10901
20137,Barisal,Rice,2015,7429,10701,10904
20138,Barisal,Othres,2015,6782,10702,10905
20139,Barisal,Wheat,2015,7825,10702,10902
20140,Barisal,Potato,2015,7964,10703,10903
20141,Barisal,Maize,2016,4122,10701,10901
20142,Barisal,Rice,2016,15625,10701,10904
20143,Barisal,Othres,2016,4448,10702,10905
20144,Barisal,Wheat,2016,5211,10702,10902
20145,Barisal,Potato,2016,8399,10703,10903
20146,Barisal,Maize,2017,5625,10701,10901
20147,Barisal,Rice,2017,18927,10701,10904
20148,Barisal,Othres,2017,2790,10702,10905
20149,Barisal,Wheat,2017,6529,10702,10902
20150,Barisal,Potato,2017,10810,10703,10903
20151,Chittagong,Maize,2008,5745,10704,10901
20152,Chittagong,Othres,2008,5321,10705,10905
20153,Chittagong,Rice,2008,11745,10705,10904
20154,Chittagong,Potato,2008,10821,10706,10903
20155,Chittagong,Wheat,2008,5807,10706,10902
20156,Chittagong,Maize,2009,4072,10704,10901
20157,Chittagong,Othres,2009,4877,10705,10905
20158,Chittagong,Rice,2009,14072,10705,10904
20159,Chittagong,Potato,2009,10259,10706,10903
20160,Chittagong,Wheat,2009,6252,10706,10902
20161,Chittagong,Maize,2010,1071,10704,10901
20162,Chittagong,Othres,2010,5823,10705,10905
20163,Chittagong,Rice,2010,8148,10705,10904
20164,Chittagong,Potato,2010,8915,10706,10903
20165,Chittagong,Wheat,2010,5963,10706,10902
20166,Chittagong,Maize,2011,5667,10704,10901
20167,Chittagong,Othres,2011,6720,10705,10905
20168,Chittagong,Rice,2011,94611,10705,10904
20169,Chittagong,Potato,2011,9286,10706,10903
20170,Chittagong,Wheat,2011,7086,10706,10902
20171,Chittagong,Maize,2012,2605,10704,10901
20172,Chittagong,Othres,2012,6533,10705,10905
20173,Chittagong,Rice,2012,9450,10705,10904
20174,Chittagong,Potato,2012,8620,10706,10903
20175,Chittagong,Wheat,2012,5488,10706,10902
20176,Chittagong,Maize,2013,1628,10704,10901
20177,Chittagong,Othres,2013,3242,10705,10905
20178,Chittagong,Rice,2013,8533,10705,10904
20179,Chittagong,Potato,2013,8816,10706,10903
20180,Chittagong,Wheat,2013,6960,10706,10902
20181,Chittagong,Maize,2014,6201,10704,10901
20182,Chittagong,Othres,2014,5759,10705,10905
20183,Chittagong,Rice,2014,7804,10705,10904
20184,Chittagong,Potato,2014,9763,10706,10903
20185,Chittagong,Wheat,2014,4873,10706,10902
