r_id,Area,Year,average_rain_fall_mm_per_year
20201,Dhaka,2008,123
20202,Rangpur,2008,109
20203,Barisal,2008,117
20204,Khulna,2008,107
20205,Chittagong,2008,134
20206,Mymensingh,2008,111
20207,Sylhet,2008,139
20208,Rajshahi,2008,115
20209,Dhaka,2009,143
20210,Rangpur,2009,132
20211,Barisal,2009,130
20212,Khulna,2009,118
20213,Chittagong,2009,113
20214,Mymensingh,2009,124
20215,Sylhet,2009,106
20216,Rajshahi,2009,114
20217,Dhaka,2010,97
20218,Rangpur,2010,142
20219,Barisal,2010,105
20220,Khulna,2010,116
20221,Chittagong,2010,95
20222,Mymensingh,2010,129
20223,Sylhet,2010,144
20224,Rajshahi,2010,126
20225,Dhaka,2011,110
20226,Rangpur,2011,140
20227,Barisal,2011,108
20228,Khulna,2011,128
20229,Chittagong,2011,125
20230,Mymensingh,2011,137
20231,Sylhet,2011,133
20232,Rajshahi,2011,119
20233,Dhaka,2012,120
20234,Rangpur,2012,104
20235,Barisal,2012,121
20236,Khulna,2012,100
20237,Chittagong,2012,145
20238,Mymensingh,2012,136
20239,Sylhet,2012,135
20240,Rajshahi,2012,127
20241,Dhaka,2013,102
20242,Rangpur,2013,141
20243,Barisal,2013,138
20244,Khulna,2013,103
20245,Chittagong,2013,112
20246,Mymensingh,2013,131
20247,Sylhet,2013,101
20248,Rajshahi,2013,122
20249,Dhaka,2014,96
20250,Rangpur,2014,99
20251,Barisal,2014,98
20252,Khulna,2014,109
20253,Chittagong,2014,144
20254,Mymensingh,2014,115
20255,Sylhet,2014,119
20256,Rajshahi,2014,99
20257,Dhaka,2015,143
20258,Rangpur,2015,118
20259,Barisal,2015,103
20260,Khulna,2015,128
20261,Chittagong,2015,120
20262,Mymensingh,2015,124
20263,Sylhet,2015,113
20264,Rajshahi,2015,111
20265,Dhaka,2016,107
20266,Rangpur,2016,116
20267,Barisal,2016,139
20268,Khulna,2016,102
20269,Chittagong,2016,117
20270,Mymensingh,2016,133
20271,Sylhet,2016,138
20272,Rajshahi,2016,132
20273,Dhaka,2017,104
20274,Rangpur,2017,129
20275,Barisal,2017,137
20276,Khulna,2017,110
20277,Chittagong,2017,121
20278,Mymensingh,2017,95
20279,Sylhet,2017,101
20280,Rajshahi,2017,122
