 Area,Year,average_rain_fall_mm_per_year
Dhaka,2000,327
Dhaka,2001,327
Dhaka,2002,327
Dhaka,2004,327
Dhaka,2005,327
Dhaka,2006,327
Dhaka,2007,327
Dhaka,2008,327
Dhaka,2009,327
Dhaka,2010,327
Dhaka,2011,327
Dhaka,2012,327
Dhaka,2013,327
Dhaka,2014,327
Dhaka,2015,327
Dhaka,2016,327
Dhaka,2017,327
Rangpur,2000,1485
Rangpur,2001,1485
Rangpur,2002,1485
Rangpur,2004,1485
Rangpur,2005,1485
Rangpur,2006,1485
Rangpur,2007,1485
Rangpur,2008,1485
Rangpur,2009,1485
Rangpur,2010,1485
Rangpur,2011,1485
Rangpur,2012,1485
Rangpur,2013,1485
Rangpur,2014,1485
Rangpur,2015,1485
Rangpur,2016,1485
Rangpur,2017,1485
Barisal,2000,89
Barisal,2001,89
Barisal,2002,89
Barisal,2004,89
Barisal,2005,89
Barisal,2006,89
Barisal,2007,89
Barisal,2008,89
Barisal,2009,89
Barisal,2010,89
Barisal,2011,89
Barisal,2012,89
Barisal,2013,89
Barisal,2014,89
Barisal,2015,89
Barisal,2016,89
Barisal,2017,89
Khulna,2001,1010
Khulna,2002,1010
Khulna,2004,1010
Khulna,2005,1010
Khulna,2006,1010
Khulna,2007,1010
Khulna,2008,1010
Khulna,2009,1010
Khulna,2010,1010
Khulna,2011,1010
Khulna,2012,1010
Khulna,2013,1010
Khulna,2014,1010
Khulna,2015,1010
Khulna,2016,1010
Khulna,2017,1010
Chittagong,2000,1010
Chittagong,2001,1010
Chittagong,2002,1010
Chittagong,2004,1010
Chittagong,2005,1010
Chittagong,2006,1010
Chittagong,2007,1010
Chittagong,2008,1010
Chittagong,2009,1010
Chittagong,2010,1010
Chittagong,2011,1010
Chittagong,2012,1010
Chittagong,2013,1010
Chittagong,2014,1010
Chittagong,2015,1010
Chittagong,2016,1010
Chittagong,2017,1010
Mymensingh,2001,1030
Mymensingh,2002,1030
Mymensingh,2004,1030
Mymensingh,2005,1030
Mymensingh,2006,1030
Mymensingh,2007,1030
Mymensingh,2008,1030
Mymensingh,2009,1030
Mymensingh,2010,1030
Mymensingh,2011,1030
Mymensingh,2012,1030
Mymensingh,2013,1030
Mymensingh,2014,1030
Mymensingh,2015,1030
Mymensingh,2016,1030
Mymensingh,2017,1030
Sylhet,2000,591
Sylhet,2001,591
Sylhet,2002,591
Sylhet,2004,591
Sylhet,2005,591
Sylhet,2006,591
Sylhet,2007,591
Sylhet,2008,591
Sylhet,2009,591
Sylhet,2010,591
Sylhet,2011,591
Sylhet,2012,591
Sylhet,2013,591
Sylhet,2014,591
Sylhet,2015,591
Sylhet,2016,591
Sylhet,2017,562
Rajshahi,2000,562
Rajshahi,2001,562
Rajshahi,2002,562
Rajshahi,2004,562
Rajshahi,2005,562
Rajshahi,2006,562
Rajshahi,2007,562
Rajshahi,2008,562
Rajshahi,2009,562
Rajshahi,2010,562
Rajshahi,2011,562
Rajshahi,2012,562
Rajshahi,2013,562
Rajshahi,2014,562
Rajshahi,2015,562
Rajshahi,2016,562
Rajshahi,2017,562
