Domain,Area Code,Area,Item Code,Item,Year Code,Year,Value
Crops,2,Dhaka,56,Maize,2000,2000,11979
Crops,2,Dhaka,116,Potatoes,2000,2000,167857
Crops,2,Dhaka,27,"Rice, paddy",2000,2000,20000
Crops,2,Dhaka,15,Wheat,2000,2000,7240
Crops,2,Dhaka,56,Maize,2001,2001,20000
Crops,2,Dhaka,116,Potatoes,2001,2001,167857
Crops,2,Dhaka,27,"Rice, paddy",2001,2001,20000
Crops,2,Dhaka,15,Wheat,2001,2001,8977
Crops,2,Dhaka,56,Maize,2002,2002,29800
Crops,2,Dhaka,116,Potatoes,2002,2002,164286
Crops,2,Dhaka,27,"Rice, paddy",2002,2002,128741
Crops,2,Dhaka,15,Wheat,2002,2002,15419
Crops,2,Dhaka,56,Maize,2003,2003,8400
Crops,2,Dhaka,116,Potatoes,2003,2003,166667
Crops,2,Dhaka,27,"Rice, paddy",2003,2003,29931
Crops,2,Dhaka,15,Wheat,2003,2003,15000
Crops,2,Dhaka,56,Maize,2004,2004,16000
Crops,2,Dhaka,116,Potatoes,2004,2004,176471
Crops,2,Dhaka,27,"Rice, paddy",2004,2004,123744
Crops,2,Dhaka,15,Wheat,2004,2004,12659
Crops,2,Dhaka,56,Maize,2005,2005,12069
Crops,2,Dhaka,116,Potatoes,2005,2005,150000
Crops,2,Dhaka,27,"Rice, paddy",2005,2005,130313
Crops,2,Dhaka,15,Wheat,2005,2005,18215
Crops,2,Dhaka,56,Maize,2006,2006,26204
Crops,2,Dhaka,116,Potatoes,2006,2006,150000
Crops,2,Dhaka,27,"Rice, paddy",2006,2006,33750
Crops,2,Dhaka,15,Wheat,2006,2006,13760
Crops,2,Dhaka,56,Maize,2007,2007,26277
Crops,2,Dhaka,116,Potatoes,2007,2007,150400
Crops,2,Dhaka,27,"Rice, paddy",2007,2007,32471
Crops,2,Dhaka,15,Wheat,2007,2007,18183
Crops,2,Dhaka,56,Maize,2008,2008,26277
Crops,2,Dhaka,116,Potatoes,2008,2008,140000
Crops,2,Dhaka,27,"Rice, paddy",2008,2008,132211
Crops,2,Dhaka,15,Wheat,2008,2008,12263
Crops,2,Dhaka,56,Maize,2009,2009,21429
Crops,2,Dhaka,116,Potatoes,2009,2009,140000
Crops,2,Dhaka,27,"Rice, paddy",2009,2009,32250
Crops,2,Dhaka,15,Wheat,2009,2009,19666
Crops,2,Dhaka,56,Maize,2010,2010,16448
Crops,2,Dhaka,116,Potatoes,2010,2010,120000
Crops,2,Dhaka,27,"Rice, paddy",2010,2010,132308
Crops,2,Dhaka,15,Wheat,2010,2010,19252
Crops,2,Dhaka,56,Maize,2011,2011,116400
Crops,2,Dhaka,116,Potatoes,2011,2011,100000
Crops,2,Dhaka,27,"Rice, paddy",2011,2011,32000
Crops,2,Dhaka,15,Wheat,2011,2011,115179
Crops,2,Dhaka,56,Maize,2012,2012,21986
Crops,2,Dhaka,116,Potatoes,2012,2012,109524
Crops,2,Dhaka,27,"Rice, paddy",2012,2012,24390
Crops,2,Dhaka,15,Wheat,2012,2012,20104
Crops,2,Dhaka,56,Maize,2013,2013,121972
Crops,2,Dhaka,116,Potatoes,2013,2013,131960
Crops,2,Dhaka,27,"Rice, paddy",2013,2013,124980
Crops,2,Dhaka,15,Wheat,2013,2013,20248
Crops,2,Dhaka,56,Maize,2014,2014,24882
Crops,2,Dhaka,116,Potatoes,2014,2014,136054
Crops,2,Dhaka,27,"Rice, paddy",2014,2014,124409
Crops,2,Dhaka,15,Wheat,2014,2014,20237
Crops,2,Dhaka,56,Maize,2015,2015,21457
Crops,2,Dhaka,116,Potatoes,2015,2015,130903
Crops,2,Dhaka,27,"Rice, paddy",2015,2015,25000
Crops,2,Dhaka,15,Wheat,2015,2015,21959
Crops,2,Dhaka,56,Maize,2016,2016,20517
Crops,2,Dhaka,116,Potatoes,2016,2016,119868
Crops,2,Dhaka,27,"Rice, paddy",2016,2016,29963
Crops,2,Dhaka,15,Wheat,2016,2016,19803
Crops,3,Rangpur,56,Maize,2000,2000,38811
Crops,3,Rangpur,116,Potatoes,2000,2000,141228
Crops,3,Rangpur,236,Soybeans,2000,2000,15000
Crops,3,Rangpur,15,Wheat,2000,2000,30455
Crops,3,Rangpur,56,Maize,2001,2001,38135
Crops,3,Rangpur,116,Potatoes,2001,2001,148818
Crops,3,Rangpur,236,Soybeans,2001,2001,20000
Crops,3,Rangpur,15,Wheat,2001,2001,28220
Crops,3,Rangpur,56,Maize,2002,2002,39460
Crops,3,Rangpur,116,Potatoes,2002,2002,153868
Crops,3,Rangpur,236,Soybeans,2002,2002,20000
Crops,3,Rangpur,15,Wheat,2002,2002,31617
Crops,3,Rangpur,56,Maize,2003,2003,42805
Crops,3,Rangpur,116,Potatoes,2003,2003,151301
Crops,3,Rangpur,236,Soybeans,2003,2003,12107
Crops,3,Rangpur,15,Wheat,2003,2003,28629
Crops,3,Rangpur,56,Maize,2004,2004,46197
Crops,3,Rangpur,116,Potatoes,2004,2004,149346
Crops,3,Rangpur,236,Soybeans,2004,2004,13333
Crops,3,Rangpur,15,Wheat,2004,2004,31130
Crops,3,Rangpur,56,Maize,2005,2005,45442
Crops,3,Rangpur,116,Potatoes,2005,2005,167061
Crops,3,Rangpur,236,Soybeans,2005,2005,17500
Crops,3,Rangpur,15,Wheat,2005,2005,31582
Crops,3,Rangpur,56,Maize,2006,2006,50111
Crops,3,Rangpur,116,Potatoes,2006,2006,170745
Crops,3,Rangpur,236,Soybeans,2006,2006,20000
Crops,3,Rangpur,15,Wheat,2006,2006,30787
Crops,3,Rangpur,56,Maize,2007,2007,46732
Crops,3,Rangpur,116,Potatoes,2007,2007,188902
Crops,3,Rangpur,236,Soybeans,2007,2007,20000
Crops,3,Rangpur,15,Wheat,2007,2007,35496
Crops,3,Rangpur,56,Maize,2008,2008,50000
Crops,3,Rangpur,116,Potatoes,2008,2008,193878
Crops,3,Rangpur,236,Soybeans,2008,2008,20000
Crops,3,Rangpur,15,Wheat,2008,2008,40168
Crops,3,Rangpur,56,Maize,2009,2009,55693
Crops,3,Rangpur,116,Potatoes,2009,2009,219780
Crops,3,Rangpur,236,Soybeans,2009,2009,16667
Crops,3,Rangpur,15,Wheat,2009,2009,40229
Crops,3,Rangpur,56,Maize,2010,2010,66790
Crops,3,Rangpur,116,Potatoes,2010,2010,231111
Crops,3,Rangpur,236,Soybeans,2010,2010,16667
Crops,3,Rangpur,15,Wheat,2010,2010,39905
Crops,3,Rangpur,56,Maize,2011,2011,59869
Crops,3,Rangpur,116,Potatoes,2011,2011,242211
Crops,3,Rangpur,236,Soybeans,2011,2011,18519
Crops,3,Rangpur,15,Wheat,2011,2011,42301
Crops,3,Rangpur,56,Maize,2012,2012,67290
Crops,3,Rangpur,116,Potatoes,2012,2012,250538
Crops,3,Rangpur,236,Soybeans,2012,2012,13333
Crops,3,Rangpur,15,Wheat,2012,2012,41096
Crops,3,Rangpur,56,Maize,2013,2013,69533
Crops,3,Rangpur,116,Potatoes,2013,2013,260110
Crops,3,Rangpur,236,Soybeans,2013,2013,10000
Crops,3,Rangpur,15,Wheat,2013,2013,41292
Crops,3,Rangpur,56,Maize,2014,2014,69091
Crops,3,Rangpur,116,Potatoes,2014,2014,250000
