Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2000,2000,hg/ha,11979
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2000,2000,hg/ha,167857
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2000,2000,hg/ha,20000
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2000,2000,hg/ha,7240
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2001,2001,hg/ha,20000
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2001,2001,hg/ha,167857
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2001,2001,hg/ha,20000
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2001,2001,hg/ha,8977
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2002,2002,hg/ha,29800
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2002,2002,hg/ha,164286
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2002,2002,hg/ha,28741
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2002,2002,hg/ha,15419
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2003,2003,hg/ha,8400
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2003,2003,hg/ha,166667
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2003,2003,hg/ha,29931
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2003,2003,hg/ha,15000
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2004,2004,hg/ha,16000
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2004,2004,hg/ha,176471
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2004,2004,hg/ha,23744
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2004,2004,hg/ha,12659
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2005,2005,hg/ha,12069
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2005,2005,hg/ha,150000
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2005,2005,hg/ha,30313
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2005,2005,hg/ha,18215
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2006,2006,hg/ha,26204
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2006,2006,hg/ha,150000
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2006,2006,hg/ha,33750
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2006,2006,hg/ha,13760
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2007,2007,hg/ha,26277
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2007,2007,hg/ha,150400
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2007,2007,hg/ha,32471
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2007,2007,hg/ha,18183
